country_name,population,nominal_gdp_usd,gdp_per_capita_usd,gdp_per_capita_ppp,hdi,gini,area_sq_km
Nicaragua,7046310,17290000000,2417,7363,0.669,46.2,130370
Niger,27202843,15570000000,580,1603,0.377,34,1267000
Nigeria,223804632,506600000000,2237,6359,0.548,35.1,923768
North Korea,26160867,24500000000,936,1739,0.607,32.5,120540
North Macedonia,1806305,15230000000,8286,22003,0.77,31.9,25713
Norway,5474360,546740000000,99266,82654,0.966,27.7,323802
Oman,4644569,108920000000,21782,42981,0.819,32.5,309500
Pakistan,240485658,374590000000,1500,7239,0.54,33.1,881913
Palau,18058,300000000,16480,16568,0.797,32.5,459
Panama,4468087,83390000000,18392,39281,0.827,49.8,75420
Papua New Guinea,10329931,31600000000,2962,4923,0.568,41.9,462840
Paraguay,6861583,44000000000,6341,16478,0.731,44.5,406752
Peru,34352720,264700000000,7575,15865,0.762,41.5,1285216
Philippines,117337368,435670000000,3649,10703,0.71,42.2,300000
Poland,37667000,748900000000,19688,45377,0.881,28.2,312685
Portugal,10247605,276200000000,26665,44605,0.874,31.2,92090
Puerto Rico,3260314,117600000000,36067,46017,0.855,54.2,9104
Qatar,2716391,235500000000,81968,146193,0.875,32.5,11586
Romania,19012400,348910000000,18128,42171,0.86,34.3,238391
Russia,144444359,2133090000000,14649,38292,0.821,36,17098242
Rwanda,14094683,13700000000,967,3014,0.548,43.7,26338
Saint Kitts and Nevis,47755,1050000000,21528,34994,0.764,32.5,261
Saint Lucia,180251,2340000000,12816,19484,0.717,51.2,616
Saint Vincent and the Grenadines,103698,1020000000,9700,16220,0.771,38,389
Samoa,225681,890000000,3912,7131,0.701,37.2,2831
San Marino,33642,2070000000,60408,78926,0.923,32.5,61
Sao Tome and Principe,231856,580000000,2484,4848,0.588,56.3,964
Saudi Arabia,36947025,1069500000000,29923,67098,0.875,45.9,2149690
Senegal,17763163,30860000000,1697,4222,0.485,40.3,196722
Serbia,6650000,75770000000,11303,27749,0.805,34.7,88361
Seychelles,107664,2040000000,18730,36986,0.802,32.1,455
Sierra Leone,8791092,3820000000,431,2138,0.45,35.7,71740
Singapore,5637000,501310000000,87884,133895,0.949,32.5,719.1
Slovakia,5424687,130760000000,23933,43962,0.855,23.2,49035
Slovenia,2119675,68780000000,32343,53457,0.926,24,20273
Solomon Islands,740424,1620000000,2156,2802,0.562,38.1,28896
Somalia,18143378,11860000000,643,1530,0.38,36.8,637657
South Africa,60414495,373230000000,6125,17042,0.686,63,1221037
South Korea,51784059,1709230000000,33393,50361,0.929,35.3,100210
